id,domain,en_term,zh_preferred,zh_acceptable,zh_forbidden,definition_zh,applicable_context,risk_notes,source
S-010,suspension_chassis,compliance,顺应性,,柔性变形,悬挂系统在载荷作用下允许其连接件（衬套、球节等）发生微小弹性变形的特性，适当的顺应性可以吸收轮胎载荷峰值、提高操控一致性，但过大会导致车轮几何失控。,悬挂设计精度分析、STR12上三角臂方案讨论。,compliance不等于"松动"或"缺陷"，而是设计允许的弹性响应；错译为"柔软度"会丢失工程意涵。,RE2017
S-011,suspension_chassis,kinematics,运动学,,动力学（混淆警告）,研究悬挂系统几何运动轨迹（车轮上下跳动时外倾、前束、主销角等如何变化）而不考虑力的作用的分析方法。,悬挂几何设计、车轮运动轨迹优化。,kinematics（运动学）与dynamics（动力学）是不同概念；前者只描述几何运动，后者包含力的作用。,RE2024
S-012,suspension_chassis,anti-dive,抗俯冲,,防前倾,通过设计悬挂几何使车辆在制动时产生对抗前俯的反力矩，减少车身前低后高的制动姿态变化，维持平台稳定性。,制动稳定性设计、RB19平台控制分析。,anti-dive通过悬挂力学实现，不同于弹簧阻尼调校实现的制动姿态控制。,RE2024
S-013,suspension_chassis,anti-squat,抗蹲尾,,防后沉,通过悬挂几何设计使车辆在加速时产生对抗后蹲的反力矩，减少车身后低前高的加速姿态变化。,加速稳定性设计、RB19后悬挂调整分析。,anti-squat与anti-lift（防前提）是不同概念；后者指制动时后轴被抬起的趋势。,RE2024
S-014,suspension_chassis,monocoque,单体壳,,承力壳体,F1赛车的核心承力结构，由碳纤维复合材料制成的一体化箱型壳体，同时充当驾驶舱、前悬挂安装基础和燃油箱围蔽结构。,底盘结构设计、惯性配重分析。,单体壳（monocoque）与承力骨架（space frame）是不同的结构形式；F1自1980年代起全面采用碳纤维单体壳。,RE2017
S-015,suspension_chassis,front bulkhead,前舱隔板,,前防撞壁,单体壳前端的垂直隔板，是前悬挂安装点集中区域，也是前碰撞结构的后端边界。,悬挂安装几何、碰撞结构设计。,front bulkhead是结构术语，不同于crash structure（碰撞吸能结构），两者位置相邻但功能不同。,RE2017
S-016,suspension_chassis,inboard suspension,内置悬挂,,内部减震,将弹簧/减震器总成布置在底盘内部（而非轮毂附近）的悬挂布局，可减小悬挂元件对外部气流的干扰，是F1主流方案。,F1悬挂布局、气动与悬挂封装协调。,内置悬挂不等于"主动悬挂"（active suspension）；前者指部件位置，后者指是否有主动调节能力。,RE2017
S-017,suspension_chassis,third element,第三元件,,辅助弹簧,在传统两个独立轮端弹簧/减震器之外，增加一个连接左右悬挂的额外弹性元件，用于独立控制车身的升沉（heave）模式刚度，而不影响横滚模式刚度。,悬挂模态解耦设计、升沉/横滚独立调校。,第三元件是高级悬挂调校工具，其作用需结合升沉/横滚模态分析才能理解。,RE2017
S-018,suspension_chassis,roll centre,滚心,,横滚中心,从理论上定义的车辆横向横滚运动的瞬时旋转中心，其高度影响车身侧倾时轮胎载荷的转移方式。,悬挂几何设计、操控特性调校。,滚心是几何计算量，不是物理存在的点；需区分前滚心与后滚心，两者高度差影响前后轴载荷转移。,RE2017
S-019,suspension_chassis,camber,外倾角,,倾斜角,车轮中心线相对于地面垂直线的倾斜角度；负外倾（轮顶向内倾）是F1的典型设定，有助于在弯道中增大轮胎有效接触面积。,轮胎接触区优化、弯道抓地力设定。,负外倾（negative camber）是工程标准表达；不应简化为"轮胎角度"。,RE2017
S-020,suspension_chassis,toe angle,束角,,前束/后束角,车轮中心线在水平面内相对于车辆纵轴的偏转角度；前束（toe-in）使轮胎前端向内收，有助于直线稳定性；后束（toe-out）增加入弯响应性。,操控特性调校、轮胎磨损管理。,前束（toe-in）和后束（toe-out）方向不同，使用时需说明；直接译"束角"而不注明方向易产生歧义。,RE2017
S-021,suspension_chassis,kingpin axis,主销轴线,,转向轴,从上下球节（或上三角臂外端）连线定义的转向旋转轴，其倾斜角度影响转向回正力矩和直线稳定性。,STR12非常规上三角臂讨论、转向几何分析。,主销轴线在STR12的特殊布局中因上三角臂向外侧延伸而位置有所改变，是文章技术要点之一。,RE2017
S-022,suspension_chassis,double shear,双剪切,,双侧固定,将螺栓两侧都有支撑材料夹住的安装方式，使螺栓同时在两个截面受剪，强度优于单剪切（single shear）。,STR12上三角臂螺栓安装方式讨论。,"双剪切"是结构工程标准术语；STR12采用双剪切（而梅赛德斯采用单剪切）体现了更保守的结构安全策略。,RE2017
S-023,suspension_chassis,torsional stiffness,扭转刚度,,抗扭刚性,结构抵抗扭转变形的能力，通常以每单位扭转角对应的扭矩值（Nm/deg）表示；底盘扭转刚度直接影响悬挂几何的有效性。,底盘结构性能评估、发动机作为承力构件时的刚度讨论。,扭转刚度数值需结合测量方法（如前后轴之间）才有意义；单纯大数值不等于好，需与重量和尺寸一起评估。,RE2017
S-024,suspension_chassis,fully stressed member,完全受力构件,,承力构件,发动机或变速箱作为底盘结构组成部分、直接传递车身载荷的安装方式，可以省去独立的底盘框架材料。,发动机/变速箱安装方式讨论、C36使用2016款法拉利引擎的结构风险分析。,2016款法拉利引擎设计为2016底盘的受力构件，在2017款更高载荷下存在结构风险，是C36技术亮点之一。,RE2017
S-025,suspension_chassis,transmission casing,变速箱壳体,,齿轮箱壳,包围变速箱齿轮系的外壳结构，在F1中通常由碳纤维复合材料制成，同时充当后悬挂安装基础，其几何形状直接影响后悬挂布局。,后悬挂设计自由度讨论、自制vs采购变速箱壳体选择。,变速箱壳体是F1规则中的"列名部件"（listed part），不能在车队间共用，因此自制壳体具有设计优势。,RE2017
S-026,suspension_chassis,listed part,列名部件,,限制共享部件,FIA规定不得在车队之间直接共用、每支车队必须自行设计和制造（或通过正式供应商获取）的特定车辆部件，变速箱壳体是典型例子。,车队技术合规性讨论、部件共用规则分析。,listed part的具体范围随FIA法规版本不同而变化，写作时需注明所适用的赛季规则版本。,RE2017
P-001,powertrain_ers,power unit (PU),动力单元,,发动机（不精确）,F1 2014年以来采用的由内燃机（ICE）、涡轮增压器（TC）、两个MGU（K和H）及能量储存单元（ES）组成的混合动力系统整体。,整车动力系统讨论、动力单元供应商关系分析。,动力单元不等于"发动机"；PU包含ERS系统，而发动机仅指内燃机部分；两者混用会导致技术含义失准。,RE2017
P-002,powertrain_ers,ICE (Internal Combustion Engine),内燃机,,发动机/引擎,动力单元中的纯内燃机部分，F1采用1.6升V6涡轮增压汽油机，是PU的热能来源核心。,动力单元性能讨论、内燃机与ERS功率输出区分。,在PU语境中始终使用ICE而非engine/发动机，以区分纯内燃机与包含ERS的完整动力单元。,RE2017
P-003,powertrain_ers,ERS (Energy Recovery System),能量回收系统,,动能回收系统,F1混合动力系统中的电能管理部分，包含MGU-K（动能回收电机）和MGU-H（热能回收电机），以及电池储能单元（ES）。,混合动力策略、能量部署节点分析。,ERS需保留英文缩写；在首次出现时给出全称及中文释义。,RE2017
P-004,powertrain_ers,MGU-K (Motor Generator Unit - Kinetic),MGU-K（动能电机发电单元）,,K电机,连接到传动系统、在制动时回收动能为电池充电、在加速时释放电能提供额外驱动力的电机发电一体单元，最大功率输出120kW。,制动能量回收策略、超车辅助能量部署。,MGU-K的功率输出时机和量级是赛道策略核心；不同于MGU-H；两者功能和连接位置完全不同。,RE2017
P-005,powertrain_ers,MGU-H (Motor Generator Unit - Heat),MGU-H（热能电机发电单元）,,H电机,连接到涡轮增压器轴、通过回收排气余热发电同时控制涡轮转速的电机发电单元，既可发电也可驱动涡轮减少增压延迟。,涡轮增压器控制、ERS能量管理策略。,MGU-H在2026年新规则下将被取消；写作中需注明其使用的赛季范围。,RE2017
P-006,powertrain_ers,ERS deployment,ERS能量部署,,能量释放,在特定赛道区段将电池储存的电能通过MGU-K释放、提供额外动力的策略操作，部署时机和量级是赛道工程师的核心决策项。,超车窗口判断、赛道能量管理策略。,部署（deployment）需与回收（harvesting）区分；部署是消耗，回收是储存，两者方向相反。,RE2017
P-007,powertrain_ers,energy store (ES),能量储存单元,,电池组,ERS系统中储存MGU-K和MGU-H回收电能的高压电池单元，单个赛车最大容量约为4MJ，FIA对其形式有严格规定。,ERS能量管理、动力单元热衰减分析。,能量储存单元不同于普通汽车电池；F1的ES在功率密度和热管理上有极高技术要求。,RE2017
P-008,powertrain_ers,charge air cooler,增压空气中冷器,,中冷器,对涡轮增压器压缩后的高温进气进行冷却的热交换器，提升进气密度、增加充气效率；在STR12中位于侧箱内，其余冷却器则集中在中轴线区域。,动力单元热管理、中轴线冷却布局分析。,中冷器通常必须放在靠近进气歧管的位置（侧箱内），不能随意移至中轴线区域，这是中轴线冷却方案的布局约束。,RE2017
P-009,powertrain_ers,turbocharger,涡轮增压器,,涡轮,通过排气驱动压气机为发动机压缩进气、提升充气效率的装置；MGU-H连接在涡轮轴上，可主动控制涡轮转速。,发动机性能分析、MGU-H功能讨论。,涡轮增压器和涡轮机（turbine）是两个概念；前者是完整的增压装置，后者特指其中的排气侧叶轮。,RE2017
P-010,powertrain_ers,fuel flow rate,燃油流量,,油耗率,FIA规定的每小时燃油消耗量上限（100kg/h），是F1动力单元功率输出的关键限制边界条件。,动力单元功率策略、油耗管理讨论。,燃油流量是硬性规则限制；超出100kg/h上限将被技术失格，赛事中通过传感器实时监控。,FIA2024
P-011,powertrain_ers,deployment strategy,能量部署策略,,电能使用策略,规划赛车在赛道各区段如何使用和回收ERS电能，以最大化单圈速度或长途比赛中的总体表现，是现代F1的核心策略工作内容。,赛道策略分析、工程师与赛车之间实时沟通。,部署策略需综合考虑电池电量、轮胎温度窗口、对手动向和安全车概率，是多变量决策问题。,RE2024
P-012,powertrain_ers,power unit packaging,动力单元封装,,发动机安装,将动力单元的各组成部件（ICE、涡轮、MGU、ES、冷却器）以最优方式布置在底盘允许空间内的工程设计过程，需平衡重心高度、冷却效率、可维护性和气动外形。,整车封装设计、C36在动力单元封装上的约束分析。,封装（packaging）在工程语境中特指空间布置优化，不同于外观设计（styling）。,RE2017
P-013,powertrain_ers,exhaust,排气系统,,尾气管,将内燃机燃烧废气引导至车辆尾部的管路系统，在F1中通常由耐高温的Inconel合金制成，其出口方向对气动后体设计有重要影响。,动力单元封装、排气与扩散器气流协调。,排气出口方向可影响后部气流，是早期吹气式扩散器（blown diffuser）等气动开发的基础。,RE2017
P-014,powertrain_ers,cost cap,成本帽,,预算上限,FIA自2021年引入的对车队年度运营支出的上限规定，直接限制了气动开发测试预算、零件迭代频次及工程师规模，深刻影响了RB19时代的技术发展路径。,现代F1竞争格局分析、RB19开发约束背景。,成本帽处罚（如红牛2022年违规被扣测试配额）需单独描述；不能将成本帽与技术法规（technical regulations）混淆。,RE2024
T-001,tyres_thermal,tyre,轮胎,,轮子（过于口语）,覆盖在轮圈上的橡胶复合材料充气外胎，是赛车唯一与赛道接触的部件，其热状态和磨损程度直接决定赛车抓地力水平。,所有涉及抓地力、进站策略、轮胎管理的讨论。,F1轮胎由倍耐力独家供应，不同配合物（compound）对温度窗口要求不同；写作中需区分配合物和胎体结构（construction）的影响。,RE2017
T-002,tyres_thermal,tyre compound,轮胎配合物,,轮胎型号/轮胎规格,决定轮胎硬度、热特性和耐磨性的橡胶化学配方，从超软到硬胎各有不同工作温度窗口和性能特征，现F1以C1-C5命名。,轮胎选择策略、赛道温度与配合物匹配。,配合物（compound）特指化学配方，不同于胎体结构（construction）；前者影响工作温度，后者影响物理刚度。,RE2017
T-003,tyres_thermal,tyre window,轮胎工作窗口,,最佳温度区间,轮胎配合物能够正常提供最大抓地力的工作温度范围，是赛车设定和策略决策的核心边界条件。,赛车设定优化、轮胎热管理、进站窗口判断。,工作窗口不同于最优温度点；窗口是一个温度范围，窗口越宽意味着更强的赛车稳定性。,RE2017
T-004,tyres_thermal,thermal degradation,热衰退,,热衰减/热磨损,由于轮胎橡胶在高温下分子链断裂导致轮胎配合物抓地力下降的现象，在轮胎冷却后可部分恢复（区别于不可逆的物理磨损）。,长途比赛轮胎管理、RB19轮胎热管理分析。,热衰退（thermal degradation）可在降温后部分恢复，物理磨损（wear）不可逆；两者混淆会导致策略判断错误。,RE2024
T-005,tyres_thermal,graining,起粒,,搓皮/橡胶剥落,轮胎橡胶表面在滑动中形成小颗粒翻滚的磨损形式，通常发生在轮胎温度不足或赛车滑动角度不当时，表现为轮胎表面粗糙，抓地力下降。,轮胎热管理不当时的故障模式分析。,起粒与热衰退机制不同：起粒是物理表面破坏，热衰退是化学性能下降；两者可同时发生但成因不同。,RE2017
T-006,tyres_thermal,blistering,起泡,,鼓泡,轮胎橡胶在过热条件下内部气泡破裂形成表面鼓泡的严重损坏形式，通常意味着轮胎已超出工作窗口上限。,轮胎过热风险分析、赛道策略中温度管理。,起泡比热衰退更严重且通常不可恢复；出现起泡时通常需要立即进站换胎。,RE2017
T-007,tyres_thermal,wear,磨损,,耗损,轮胎橡胶因与赛道摩擦导致的物理厚度减少，是不可逆的损耗过程，与热衰退（可部分恢复）有本质区别。,进站策略窗口判断、轮胎寿命预测。,wear特指不可逆的物理减薄，与degradation（可部分恢复的性能下降）是平行但不同的损耗机制。,RE2017
T-008,tyres_thermal,contact patch,接触印痕,,接触面积,轮胎在正常使用状态下与赛道地面接触的橡胶区域形状及面积，是轮胎力学的核心参数，影响最大摩擦力和侧向抓地力。,轮胎力学分析、2017年新规宽胎技术影响讨论。,接触印痕大小受垂向载荷、轮胎气压和外倾角影响；STR12设计中宽胎带来更大印痕是整车载荷分析的起点。,RE2017
T-009,tyres_thermal,vertical load (tyre),垂向载荷,,轮胎压力（易混淆）,施加在轮胎上的垂直方向力，由赛车质量、加速度和气动下压力共同决定；垂向载荷越大，理论抓地力上限越高。,轮胎载荷分析、悬挂载荷设计计算。,不应译为"轮胎压力"（tire pressure指充气气压）；垂向载荷是力学量，轮胎气压是状态量。,RE2017
T-010,tyres_thermal,tyre management,轮胎管理,,轮胎保护,在比赛中通过驾驶风格调整、赛车设定优化和策略规划，延长轮胎使用寿命并保持其在工作窗口内的综合技术工作。,长途比赛策略、轮胎替换节点判断。,轮胎管理是主动技术策略，不同于轮胎磨损（被动过程）；管理能力是F1赛车和车手综合竞争力的重要维度。,RE2017
T-011,tyres_thermal,tyre temperature,胎温,,轮胎温度,轮胎各部位（表面、中间层、内衬）的温度状态，是判断轮胎是否进入工作窗口的直接指标，由传感器实时监测并通过赛车遥测系统传回维修区。,轮胎窗口管理、进站策略判断。,表面温度（surface temp）和核心温度（core temp）是不同的监控指标，表面温度变化快，核心温度反映轮胎整体热状态。,RE2024
T-012,tyres_thermal,tyre pressure,轮胎气压,,胎压,充入轮胎内的气体压力，影响接触印痕面积、侧向刚度和轮胎工作温度；FIA对最低轮胎气压有规定，且赛前由技术代表检查。,轮胎设定管理、赛前规则合规性。,FIA规定的最低胎压是赛前静态测量值，赛中热胎气压会上升，设定需考虑从冷到热的胎压变化量。,FIA2024
T-013,tyres_thermal,undercut (strategy),内停策略,,提前进站（比赛策略），注意与sidepod undercut区分,在对手轮胎未到正常换胎节点之前提前进站换新胎，利用新胎更快圈速超越在出站口仍未进站的对手的比赛策略。,进站时机选择、赛道位置策略分析。,undercut（内停）与overcut（外停）是F1策略的两个方向；与aerodynamics中的sidepod undercut（侧箱下切）是完全不同的专业词汇，需严格区分语境。,RE2017
T-014,tyres_thermal,overcut (strategy),外停策略,,延迟进站（比赛策略），注意与内停区分,在对手进站后继续保持更多圈数的延迟进站策略，利用持续积累的时间差在对手新胎圈速优势消失前完成超越。,进站时机选择、比赛策略分析。,外停策略在轮胎衰减较慢或安全车出现时更有效；与内停是相对策略选项。,RE2017
T-015,tyres_thermal,tyre degradation,轮胎衰减,,轮胎损耗,轮胎性能（通常以圈速表示）随使用圈数增加而下降的综合过程，包含热衰退、磨损等多种机制的叠加效果。,比赛节奏分析、进站策略窗口判断。,轮胎衰减是热衰退与磨损的综合表现；在策略讨论中常作为"每圈性能下降率"来量化。,RE2017
T-016,tyres_thermal,tyre compound selection,配合物选择,,轮胎选择策略,根据赛道特性、预计温度范围和比赛策略选择最适合的轮胎配合物的技术决策过程。,赛前准备、比赛策略规划。,选择需综合考虑赛道磨损率、气温、赛道温度、期望的停站次数等多个变量。,RE2017
T-017,tyres_thermal,heat cycle,热循环,,加热过程,轮胎从冷态升温到工作窗口然后冷却的一个完整温度循环过程；F1轮胎热循环次数受限，过多热循环会降低轮胎可用性。,赛前暖胎策略、出站圈轮胎激活分析。,每次热循环都会对轮胎配合物结构造成一定损耗；安全车期间的冷却是非理想的热循环，会影响轮胎后续表现。,RE2017
T-018,tyres_thermal,blanket temperature,暖胎毯温度,,预热温度,出站前将轮胎包裹在电加热毯中预热到接近工作窗口下限温度的准备程序，有助于减少出站后的激活圈数。,出站策略、换胎后的激活圈速预期。,FIA曾讨论禁止暖胎毯以降低成本；暖胎毯温度设定直接影响出站后第一圈的轮胎性能。,RE2017
